=================================
=  Algeria

Rayane Belaid,                F,  1.74 m,  b. 11 May 2005 @ Orihuela
Rayan Kolli,                  F,  - ,      b. 10 Feb 2005 @ Hounslow
Sid Ahmed Aissaoui,           M,  1.83 m,  b. 11 Jan 2005 @ Blida

Yacine Gaya,                  D,  1.84 m,  b. 15 Nov 2004 @ Bondy
Ivane Chegra,                 M,  - ,      b. 3 Mar 2004 @ Montreuil
Mehdi Puch,                   M,  - ,      b. 20 Jan 2004 @ Paris

Stan Berkani,                 M,  1.78 m,  b. 13 Aug 2003 @ Vichy
Rafik Messali,                F,  - ,      b. 28 Apr 2003 @ Toulouse

Farès Chaïbi,                 M,  1.83 m,  b. 28 Nov 2002 @ Lyon
Rafik Belghali,               D,  - ,      b. 7 Jun 2002
Mohamed Belloumi,             F,  1.74 m,  b. 1 Jun 2002 @ Mascara
Reda Benchaa,                 D,  1.88 m,  b. 12 Mar 2002 @ Le Blanc-Mesnil
Anis Hadj Moussa,             F,  - ,      b. 11 Feb 2002

Camiel Neghli,                F,  1.79 m,  b. 6 Nov 2001 @ Ede
Samy Faraj,                   F,  1.78 m,  b. 4 Oct 2001 @ Croix
Hussayn Touati,               F,  1.76 m,  b. 3 Oct 2001 @ Pontoise
Rayan Aït-Nouri,              D,  1.79 m,  b. 6 Jun 2001 @ Montreuil
Yanis Guermouche,             F,  1.92 m,  b. 15 Apr 2001 @ Neuilly-sur-Seine
Mehdi Baaloudj,               F,  1.83 m,  b. 2 Feb 2001 @ Melun
Monsef Bakrar,                F,  1.86 m,  b. 13 Jan 2001 @ Sétif
Yasser Larouci,               D,  1.75 m,  b. 1 Jan 2001 @ El Oued

Saïd Arab,                    M,  1.78 m,  b. 23 Jul 2000 @ Paris
Abdelkahar Kadri,             M,  1.70 m,  b. 24 Jun 2000 @ El Hammamet
Wassim Aouachria,             M,  - ,      b. 12 May 2000 @ Roubaix
Mohammed Amoura,              F,  1.70 m,  b. 9 May 2000 @ Taher
Nadhir Benbouali,             F,  1.90 m,  b. 17 Apr 2000 @ Chlef
Mohamed Amine Tougai,         D,  1.91 m,  b. 22 Jan 2000 @ Bourouba
Adem Zorgane,                 M,  1.85 m,  b. 6 Jan 2000 @ Sétif
Karim Chaban,                 F,  1.82 m,  b. 6 Jan 2000 @ Marseille

Hicham Boudaoui,              M,  1.76 m,  b. 23 Sep 1999 @ Béchar
Mehdi Zerkane,                M,  1.86 m,  b. 15 Jul 1999 @ Clermont-Ferrand
